qid,docno,score
1,hp5x637c,9.5
1,utg8k7qs,8.5
1,3t8g1xeg,8.5
1,pw4yh922,8.5
1,zf1g6x34,8.5
1,2jq626ye,8.5
1,d22fs0fx,8.5
1,8y24j34j,7.5
1,ujgcsx3o,7.5
1,l1lq8yga,3.5
1,3zevsk0w,3.5
1,t0tewgvx,3.5
1,m59czkya,3.5
1,uodw4iba,3.5
1,p6a3j6mr,2.5
1,pjdogrs4,2.5
1,tg6s41y3,2.5
1,803pdzy7,2.5
1,9e9523i8,2.5
1,645zegcv,2.5
1,0aiaklrn,2.5
1,zm38v6do,2.5
1,gnz96tzj,2.0
1,27fd59qe,2.0
1,ow5wt781,2.0
1,417onceq,1.2
1,u5npu6ng,1.0
1,fbe47bgi,1.0
1,vpm9drvz,0.3
1,t14wnsi1,0.2
1,0pi042qi,0.2
1,7mfc4mee,0.2
1,30s14h9j,0.2
1,f2vds1n7,0.2
1,782iew86,0.2
1,8c8skz2r,0.2
1,2hbxvvpw,0.2
1,jy7j8sh0,0.2
1,41ui4lqc,0.2
1,3z20ctdf,0.2
1,nmt221tu,0.2
1,nmchd4ib,0.2
1,1xgjdhkx,0.2
1,6nas74q1,0.2
1,23xo4frr,0.2
1,o4k7auph,0.2
1,1v353uij,0.2
1,iy6qzq58,0.2
1,vn3gkugz,0.2
1,pebc17zw,0.2
1,3o0hv92q,0.2
1,8ut2p9p6,0.2
1,i1qcanti,0.2
1,iq30z094,0.2
1,jvyq1b3l,0.2
1,60y9to0r,0.2
1,xd3zxx0c,0.2
1,cin2qol8,0.2
1,b6gte5u0,0.2
1,bglrptqj,0.2
1,zxtbnyho,0.1
1,b6l0qshz,0.1
1,64l96jwp,0.1
1,qbt142yj,0.1
1,xxt4g8gq,0.1
1,33zi29bg,0.1
1,wbawzbhz,0.1
1,64k42urk,0.1
1,ri7v2ka3,0.1
1,yu71iewp,0.1
1,yne3nu46,0.1
1,7cgqxt2m,0.1
1,nzxpo4sd,0.1
1,brsailag,0.1
1,4cniomio,0.1
1,kvuy06ln,0.1
1,uy90ulsy,0.1
1,3bozjfv7,0.1
1,6r7d5n3l,0.1
1,g42p98ku,0.1
1,u1xa44nw,0.1
1,vj4rvfte,0.1
1,c1r10fy6,0.1
1,zy5m8xc8,0.1
1,cqx9pjzr,0.1
1,nivrrsqg,0.1
1,feohfmbo,0.1
1,7jszm1nd,0.1
1,yrju4spi,0.1
1,mmd8ru3r,0.1
1,1vhzto1o,0.1
1,tg0tczni,0.1
1,pkbo2lbk,0.1
1,ci6db90d,0.1
1,godas2iy,0.1
1,gs75ebo4,0.1
1,ocg5siiy,0.1
1,pxwopt88,0.0
1,zmmef8gj,0.0
1,snq9nij4,0.0
2,zo9yngfc,9.5
2,gbdaad4l,9.2
2,4eylgtbc,8.5
2,6hwedoh7,8.5
2,6zi7sxs1,8.5
2,ob2xoxlq,8.5
2,x4hdxx1t,8.5
2,aq48eris,7.5
2,ylpa702c,7.5
2,pyrfgggz,7.5
2,ciwts11b,7.5
2,9l8nuz5g,7.5
2,2jq626ye,6.5
2,4qrg6lqu,6.5
2,4z38v9rg,6.5
2,994731g9,6.5
2,mtk3qxue,6.5
2,m1jpza1z,5.8
2,8y24j34j,5.5
2,vpm9drvz,4.5
2,sop5vc4q,4.5
2,12eqrhql,3.5
2,3zh8jmc2,3.5
2,01yc7lzk,3.5
2,803pdzy7,3.5
2,bea9x5j1,3.5
2,dih1nj0r,3.5
2,i1ifocme,3.5
2,wdcmb4x5,3.5
2,hp1gz37o,3.5
2,kkxdmzk9,3.5
2,w1csq51z,2.5
2,3ib99gup,2.5
2,2ffnuc8f,2.5
2,lfvso15k,2.5
2,jm3uzg2i,2.5
2,pzc4ivvg,2.5
2,pebc17zw,2.5
2,bzwfs0i5,2.5
2,a0e3kwbe,2.3
2,gb1txu1o,2.0
2,khrx6rnh,1.2
2,t8vmow9s,1.0
2,vf8z02nh,1.0
2,63bos83o,1.0
2,fbe47bgi,1.0
2,8ut2p9p6,0.2
2,3pnuzxqv,0.2
2,xd3zxx0c,0.2
2,ibmi9ln8,0.2
2,7mfc4mee,0.2
2,4enavqde,0.2
2,oyajv16r,0.2
2,aq3ho77b,0.2
2,evy1neal,0.2
2,emxgbnvg,0.2
2,ocg5siiy,0.2
2,xntqevam,0.2
2,5q3ojfmc,0.2
2,18js044m,0.2
2,9717nzr7,0.2
2,weiqdxi7,0.2
2,dxhhf0th,0.2
2,ak17aznz,0.2
2,30s14h9j,0.2
2,qeao4ghg,0.2
2,dtvzwin8,0.2
2,bu43gmpc,0.2
2,2hbxvvpw,0.2
2,cin2qol8,0.2
2,usvz287e,0.2
2,cqx9pjzr,0.2
2,dizrffw1,0.2
2,furt6xcn,0.2
2,feohfmbo,0.2
2,n6b0r92e,0.1
2,33zi29bg,0.1
2,9785vg6d,0.1
2,b6l0qshz,0.1
2,xwxgvdvp,0.1
2,f2vds1n7,0.1
2,6sfleb1b,0.1
2,0u5ot5h4,0.1
2,lvoam28y,0.1
2,1rhy8td0,0.1
2,zmmef8gj,0.1
2,bcwcjf01,0.1
2,ugbwvy6j,0.1
2,5yhoiv76,0.1
2,d8908t93,0.1
2,xxt4g8gq,0.1
2,nivrrsqg,0.1
2,af8ofuwo,0.1
2,qcp2aqya,0.1
2,782iew86,0.1
2,pdjsy9a0,0.1
2,z3in6bi2,0.1
2,wf0o3whi,0.1
2,tocqabgu,0.1
2,fmgpemja,0.1
3,evy1neal,8.5
3,mlhd9zbs,8.5
3,verg5dhn,8.5
3,u6ts87ur,8.5
3,u1xbkaq0,8.5
3,9o596lw2,8.5
3,15m5m44x,8.5
3,6zrv687k,8.5
3,hrfbygub,8.5
3,vggfbym5,8.5
3,184kmuiy,8.5
3,ux21mzep,8.5
3,2jq626ye,7.5
3,a9o2dvke,7.5
3,iy6qzq58,7.5
3,af8ofuwo,7.5
3,kp06yxbf,3.5
3,9ka3jdbf,3.5
3,2hbxvvpw,3.5
3,abyxz7jw,3.5
3,8y24j34j,3.5
3,pw4yh922,3.5
3,l1lq8yga,3.5
3,zoud7w1y,2.5
3,slxdonqi,2.5
3,c6elsnag,2.5
3,9rfmpvhh,2.5
3,24o2viv3,2.5
3,q8e08pq0,2.5
3,ekxq4l9a,2.5
3,pd47uife,2.5
3,9tivuyh5,2.5
3,5wz79c2l,2.5
3,j3p1u80n,2.5
3,v22k72tw,2.0
3,l78de41z,2.0
3,ejv0gidp,2.0
3,ymv5uhxv,1.5
3,4glq9iqo,1.2
3,oefyszar,1.0
3,i99pgmd1,1.0
3,n6b0r92e,0.2
3,dc7fn26s,0.2
3,ohd9y2fz,0.2
3,2hchnlwb,0.2
3,3pnuzxqv,0.2
3,j6txbpz4,0.2
3,7m21bgxb,0.2
3,6u80p5sj,0.2
3,2ffnuc8f,0.2
3,j0u2e01k,0.2
3,0littefv,0.2
3,6wu024ng,0.2
3,qcmsmfad,0.2
3,fcffl6m4,0.2
3,i8zikevn,0.2
3,s4xlrav8,0.2
3,ikr1qrrt,0.2
3,26pbzbxz,0.2
3,bnhwgv2g,0.2
3,ome3x8qj,0.2
3,mudtccfe,0.2
3,kx7z79pf,0.2
3,0u5ot5h4,0.2
3,b5rh0org,0.2
3,k3z30aaw,0.1
3,vixb9v8v,0.1
3,6l6c7jpq,0.1
3,bjg20xnk,0.1
3,chy7096f,0.1
3,zvyg2dzw,0.1
3,dg10rf2f,0.1
3,a203p26f,0.1
3,feohfmbo,0.1
3,4enavqde,0.1
3,jyi5z10h,0.1
3,xrhqisii,0.1
3,j9qucb0k,0.1
3,2z14p4oh,0.1
3,5hifn0cf,0.1
3,64k42urk,0.1
3,b6l0qshz,0.1
3,5cyjk2tm,0.1
3,24lz9tf1,0.1
3,k5g8ebqg,0.1
3,lchdm4xr,0.1
3,kf1fs1ka,0.1
3,803pdzy7,0.1
3,mzsoh16g,0.1
3,tocqabgu,0.1
3,2bsk6oh7,0.1
3,kfwbqp4p,0.1
3,t8e8m6td,0.1
3,wfkk7dsm,0.1
3,xypscjiq,0.1
3,jppa2pbw,0.1
3,594mmlk8,0.1
3,dscdjtfy,0.1
3,yy5guugq,0.0
3,njzyu4mv,0.0
4,uh3q65we,9.0
4,w0ouin51,9.0
4,2jq626ye,9.0
4,270msv5l,8.5
4,k8mn9xkj,8.5
4,li48ej86,8.5
4,elhp6rx6,8.5
4,povf1jrx,8.5
4,exkrhhop,8.5
4,5lqy1gjj,8.5
4,30ulsqqu,8.5
4,u86icqcc,8.5
4,usvz287e,8.5
4,qtfdtfq4,7.5
4,bzex0385,7.5
4,iec4mvh7,7.5
4,00rk8fb5,7.5
4,yh6858k6,7.5
4,wfrmvlhi,7.5
4,b41j1ilr,6.5
4,ttu6xum8,6.5
4,b5rh0org,6.5
4,f6dz688n,5.5
4,6myqgme3,5.5
4,jleccqqx,4.5
4,k9yjwnmt,3.5
4,9717nzr7,3.5
4,qocuprwb,3.5
4,echn80cq,3.5
4,76aeat80,3.5
4,kc1xl0sg,3.5
4,8l44fnq6,3.5
4,oyajv16r,3.5
4,36fljyl2,3.5
4,zggk0x2q,3.0
4,ghm1hvei,2.5
4,de4dhv4b,2.5
4,nlaiurau,2.5
4,fiy0l5lh,2.5
4,l1lq8yga,2.5
4,26pbzbxz,2.5
4,sddif46h,2.5
4,s0otfnjw,2.5
4,645zegcv,2.5
4,y9i4hsy8,2.3
4,g06l1j0h,2.0
4,d0hrsiu3,1.5
4,bjg20xnk,1.5
4,xrhqisii,1.5
4,5i66xf7d,1.2
4,34sa8fcm,1.2
4,2folsh35,1.2
4,ebyueq5h,1.0
4,zshd7i9i,1.0
4,ynnp2wph,1.0
4,llilwq1u,0.2
4,7mfc4mee,0.2
4,1r1ueuk2,0.2
4,feohfmbo,0.2
4,utg8k7qs,0.2
4,1qhferax,0.2
4,gy472fk4,0.2
4,4wtt935o,0.2
4,rp9z4izp,0.2
4,30s14h9j,0.2
4,jy7j8sh0,0.2
4,ibmi9ln8,0.2
4,w1csq51z,0.2
4,wxparyeg,0.1
4,nfibuobt,0.1
4,zxtbnyho,0.1
4,bswndfvk,0.1
4,3bozjfv7,0.1
4,b6l0qshz,0.1
4,xogty25m,0.1
4,iodfgzjf,0.1
4,7xp143nc,0.1
4,0u5ot5h4,0.1
4,auum3tn7,0.1
4,nzxpo4sd,0.1
4,3w02be5c,0.1
4,njzyu4mv,0.1
4,4jnovvnp,0.1
4,9p2n8tjx,0.1
4,fk7k84n7,0.1
4,xd3zxx0c,0.1
4,k3g6ymut,0.1
4,9sc2xmqr,0.1
4,ow3aez9v,0.1
4,lk2ny1wd,0.1
4,3o0hv92q,0.1
4,m6wid9v5,0.1
4,w8bmmgtj,0.1
4,vj4rvfte,0.1
4,uwez578q,0.1
4,nxv1ie29,0.1
4,1wl7i7ch,0.1
4,zmmef8gj,0.0
4,klzs6hqy,0.0
4,vqoxd64i,0.0
5,5kffoext,8.5
5,xibqsjib,8.5
5,cxxk09t2,8.5
5,mx6i2781,8.5
5,xicq2drc,8.5
5,pwlybr2h,8.5
5,jkxsm8yv,8.5
5,n85ptr5p,8.5
5,96xoj10p,8.5
5,2hbxvvpw,8.5
5,226ne81d,7.8
5,vpm9drvz,7.5
5,jiw3cji1,7.5
5,qnwtwpni,7.5
5,jq1xumrh,7.5
5,mtgtss0m,7.5
5,e2txo10z,7.5
5,b5rh0org,7.5
5,gc84k214,7.5
5,mtk3qxue,7.5
5,a9o2dvke,7.5
5,cin2qol8,6.8
5,ylpa702c,6.8
5,qevosik3,6.8
5,ovjucuw7,6.5
5,tsuz3j40,6.5
5,0littefv,6.5
5,vggfbym5,6.5
5,473qbg0u,5.5
5,c5jdp5jv,4.5
5,v3548bfn,4.5
5,fvx0xof9,3.5
5,7cpxg1b4,3.5
5,iey3o9g9,3.5
5,cjqsaepz,3.5
5,wm4c7rk6,3.5
5,vu9b5a14,3.5
5,beqvgdjo,3.5
5,6b6esumw,3.5
5,1v353uij,2.5
5,lxtuig9w,2.5
5,9l8nuz5g,2.5
5,ofpcgxce,2.5
5,d62iuk72,2.5
5,qwr6nfi1,2.5
5,8n0tvm0w,2.5
5,o7ttiu97,2.5
5,5wz79c2l,2.5
5,6u80p5sj,2.5
5,e7b1guwq,2.5
5,7cgqxt2m,2.5
5,howix091,2.5
5,62fsb8y5,2.5
5,pnroqceq,2.3
5,tihc3ldd,1.5
5,vfbzm6w3,1.2
5,3pnuzxqv,1.0
5,clqfq8hw,1.0
5,i0a3igc7,1.0
5,c5i7bzz4,1.0
5,sta4cf3o,0.2
5,gw2cow0d,0.2
5,66lqic50,0.2
5,iefu6hph,0.2
5,8dbenul1,0.2
5,2x4khog1,0.2
5,a6y0eoov,0.2
5,mhw7cqwp,0.2
5,96rrh93f,0.2
5,iy6qzq58,0.1
5,xyc6a1fw,0.1
5,j9qucb0k,0.1
5,031ro01b,0.1
5,xxt4g8gq,0.1
5,8ut2p9p6,0.1
5,o1x8c9o4,0.1
5,y9qyjbc2,0.1
5,jkg7qkj6,0.1
5,85kn968m,0.1
5,q96i25vh,0.1
5,qb7umsyu,0.1
5,24lz9tf1,0.1
5,f0ncxqbx,0.1
5,cim8sfda,0.1
5,vv581qzu,0.1
5,7jszm1nd,0.1
5,bzwfs0i5,0.1
5,rb9xdzro,0.1
5,wbh06gzb,0.1
5,8vk89i4h,0.1
5,zajppdcc,0.1
5,c0ggw1z4,0.1
5,9717nzr7,0.1
5,psguw47w,0.1
5,vtp4cwvt,0.1
5,sc0ersky,0.1
5,bmdnqgvu,0.1
5,r707jl16,0.0
5,vk8n8s2q,0.0
5,64k42urk,0.0
6,917uwsgx,9.5
6,yxuyhc7p,8.5
6,lar2m59n,8.5
6,ceatyj3o,8.5
6,mtk3qxue,8.5
6,zminzrov,8.5
6,ngn9x3lc,8.5
6,tpqow3fy,8.5
6,o1x05kni,8.5
6,np9tsmvs,8.5
6,m9ni2883,8.5
6,7lohh5ty,8.5
6,mkrpls2f,8.5
6,4knbd4xy,8.5
6,oq8gpl91,8.5
6,7qzl1umz,8.5
6,pof78bwb,8.5
6,k8wfyj9b,8.5
6,skzidybm,8.5
6,smpfp34k,8.5
6,ij9mifov,8.5
6,u6ts87ur,8.5
6,2jq626ye,8.5
6,ic9ka18g,8.5
6,chnaum4b,8.5
6,lrkscs71,7.5
6,efk5pzov,7.5
6,7m71pqu9,7.5
6,mid2w6yo,7.5
6,txim79ji,7.5
6,ovf7wuv3,7.5
6,fs919j84,7.5
6,085v7n6k,7.5
6,lz37rh82,7.5
6,dtvzwin8,6.5
6,t35n7bk9,6.5
6,6f8vyziv,6.5
6,z6ndprmm,6.5
6,i1qcanti,6.5
6,rd0g5j55,6.5
6,ia13k602,6.5
6,sfshosp0,4.5
6,dm21kvnm,4.2
6,vqss7z7m,3.5
6,22ewkwma,3.5
6,qjab20j6,3.5
6,r9gtw3cl,3.5
6,65drhnk8,3.5
6,z716py0g,3.5
6,s76c5ebd,3.5
6,v06dpgoi,2.5
6,js68cj0f,2.5
6,mmls866r,2.5
6,h6h82gwt,2.5
6,b9dk07tk,2.5
6,qfb7074e,2.3
6,l2h0d65j,2.0
6,k3z30aaw,1.5
6,bsu74y23,1.0
6,knbf8m4x,1.0
6,m1jpza1z,0.8
6,7t4d4vvo,0.3
6,531twx5p,0.2
6,srxo19hg,0.2
6,a35a92gh,0.2
6,5x24dcx9,0.2
6,drhl264f,0.2
6,2hchnlwb,0.2
6,5wz79c2l,0.2
6,79fp75u3,0.2
6,oni76pna,0.2
6,xguvylqk,0.2
6,i7x50taa,0.2
6,z3in6bi2,0.2
6,jq1xumrh,0.2
6,18azv910,0.2
6,m31mb2kr,0.2
6,iy6qzq58,0.2
6,1v353uij,0.2
6,wybmer7o,0.2
6,n1fabz7k,0.2
6,63bos83o,0.1
6,ud411cox,0.1
6,vsjy9oaf,0.1
6,1rhy8td0,0.1
6,d0eur1hq,0.1
6,sluqq1px,0.1
6,bzwfs0i5,0.1
6,0pgcfk6b,0.1
6,nn4rum8j,0.1
6,ydrnanug,0.1
6,ttu6xum8,0.1
6,5cyjk2tm,0.1
6,gfqbdj0h,0.1
6,ews6n5qc,0.1
6,6w9n03fy,0.1
6,wyzb8v4a,0.1
6,wi7qdbc7,0.1
6,hrfbygub,0.1
6,3ejfxj6r,0.1
7,equnyib7,9.5
7,r7me6seg,9.5
7,skzidybm,9.0
7,i6jhquze,8.5
7,k8wfyj9b,8.5
7,z6ndprmm,8.5
7,lwirkob3,8.5
7,rq08bhu9,8.5
7,7bsixsgd,8.5
7,j6txbpz4,8.5
7,2586thss,8.5
7,bsu74y23,8.5
7,9z0lo2d1,8.5
7,6zrv687k,8.5
7,ff2zadol,8.5
7,xurttbt2,7.8
7,6it6pukx,7.5
7,876vvri8,7.5
7,n01rgqyv,7.5
7,ij9mifov,7.5
7,l1gitdmz,6.5
7,lar2m59n,6.5
7,ceatyj3o,6.5
7,6jjnhhot,6.5
7,a9f6hh7t,6.5
7,hrfbygub,5.5
7,2hchnlwb,3.5
7,j0u2e01k,3.5
7,5wz79c2l,3.5
7,zzhftw3j,3.5
7,mfu2ejwl,3.5
7,mtk3qxue,3.5
7,dm21kvnm,2.5
7,r3z1w441,2.5
7,0xj6zk31,2.5
7,smpfp34k,2.5
7,zrobpop6,2.5
7,qjab20j6,2.5
7,t35n7bk9,2.5
7,wnk44cf7,2.5
7,r8m6cgv8,2.5
7,n6b0r92e,2.5
7,ohd9y2fz,2.5
7,3pnuzxqv,2.5
7,gw2p27rc,2.5
7,m31mb2kr,2.5
7,efk5pzov,2.3
7,9ka3jdbf,2.3
7,2z14p4oh,2.0
7,22ewkwma,2.0
7,gc84k214,2.0
7,ud411cox,1.5
7,vu9b5a14,1.5
7,r4glbi6w,1.2
7,rd0g5j55,1.2
7,8mbqkzpu,1.2
7,x7f9927x,1.2
7,06glboqq,1.0
7,sctfgzdo,1.0
7,0tl1imqo,1.0
7,27875dd6,0.2
7,ngn9x3lc,0.2
7,6f8vyziv,0.2
7,zvyg2dzw,0.2
7,r707jl16,0.2
7,m9ni2883,0.2
7,7qbhepad,0.2
7,wyzb8v4a,0.2
7,mmls866r,0.2
7,a203p26f,0.2
7,fvx0xof9,0.2
7,18azv910,0.2
7,k5xpirfz,0.2
7,zea51el3,0.2
7,5afv6ki2,0.2
7,qg3il3u1,0.1
7,knbf8m4x,0.1
7,gfqbdj0h,0.1
7,531twx5p,0.1
7,iy6qzq58,0.1
7,jq1xumrh,0.1
7,vf8z02nh,0.1
7,63bos83o,0.1
7,bzwfs0i5,0.1
7,lrkscs71,0.1
7,5cyjk2tm,0.1
7,m1cmkkw3,0.1
7,pdjsy9a0,0.1
7,ruba65p5,0.1
7,tpqow3fy,0.1
7,7lohh5ty,0.1
7,jai4aj6n,0.1
7,in7he5o4,0.1
7,j9qucb0k,0.1
7,i70ztypg,0.1
7,g8v47wrz,0.1
7,a4ue2jot,0.1
7,vixb9v8v,0.1
7,on8chko9,0.0
7,hp6lwpn5,0.0
8,yh6858k6,8.5
8,73nlxqgk,8.5
8,jk7vng3v,7.5
8,7lohh5ty,7.5
8,ij9mifov,7.5
8,91lzomwp,7.5
8,nmmimc71,6.5
8,drcfdv9z,5.8
8,0q2ky9gd,3.8
8,7qzl1umz,3.5
8,5kqtxh6t,3.5
8,k8mn9xkj,2.5
8,ejv0gidp,2.5
8,sw8aleo3,2.5
8,kvuy06ln,2.5
8,a8w5cs6k,2.5
8,vpm9drvz,2.5
8,5rm1za8z,2.5
8,r9djydgi,2.5
8,30s14h9j,2.5
8,6opcjfza,2.5
8,22ewkwma,2.0
8,leedutqo,2.0
8,w1csq51z,1.5
8,63bos83o,1.5
8,qjab20j6,1.5
8,nrq4ncdf,1.5
8,xntqevam,1.5
8,8dye7e9m,1.2
8,yxuyhc7p,1.2
8,2hchnlwb,1.0
8,soov8q3q,1.0
8,8cbjhh1z,1.0
8,mkrpls2f,1.0
8,m1jpza1z,0.3
8,6sfleb1b,0.2
8,n1fabz7k,0.2
8,aaglh001,0.2
8,jppa2pbw,0.2
8,p8h6zhnk,0.2
8,nge1itgk,0.2
8,pgbrtnqi,0.2
8,8y7218oj,0.2
8,8pp9kou2,0.2
8,25dcnext,0.2
8,xrhqisii,0.2
8,4qrg6lqu,0.2
8,vuvgvz4n,0.2
8,9dn5c01n,0.2
8,u6ts87ur,0.2
8,qz68gtd4,0.2
8,m9ni2883,0.2
8,nky7bo6u,0.2
8,fq1su77a,0.2
8,tvlcsv2t,0.2
8,2hbxvvpw,0.2
8,osv673g3,0.2
8,pebc17zw,0.2
8,ovq737wt,0.2
8,xmjzgqq7,0.2
8,utg8k7qs,0.2
8,fvx0xof9,0.2
8,r707jl16,0.1
8,ttu6xum8,0.1
8,9p2n8tjx,0.1
8,4uk96af7,0.1
8,bdh9k0ja,0.1
8,xxt4g8gq,0.1
8,c6u30lwd,0.1
8,owm0ycu0,0.1
8,np9tsmvs,0.1
8,llilwq1u,0.1
8,5i66xf7d,0.1
8,z6ndprmm,0.1
8,543aq9dx,0.1
8,7v59rutb,0.1
8,e0z5ypii,0.1
8,iy6qzq58,0.1
8,mlrzfbc0,0.1
8,ews6n5qc,0.1
8,q5s79p6n,0.1
8,g06l1j0h,0.1
8,lrkscs71,0.1
8,662lpdx5,0.1
8,wuu713l2,0.1
8,mq4a4u40,0.1
8,6ws8q379,0.1
8,wae6lekm,0.1
8,m8ktaq1w,0.1
8,0r4z1zea,0.1
8,on8chko9,0.1
8,7lvyg0ea,0.1
8,zxtbnyho,0.1
8,ki0nnptv,0.1
8,ke0tkpso,0.1
8,r5te5xob,0.1
8,8ut2p9p6,0.1
8,qcpcr7uv,0.1
8,7t4d4vvo,0.1
8,6eb2jgl7,0.1
9,6hwedoh7,8.5
9,3798plin,8.5
9,3b46oj29,8.5
9,96v85b0a,7.5
9,0q2ky9gd,7.5
9,dp90eo2u,7.5
9,2qds187e,7.5
9,2jq626ye,7.5
9,74qmy02h,7.5
9,270msv5l,7.5
9,32ykxt0o,7.5
9,wdcmb4x5,6.8
9,mlrzfbc0,6.5
9,91lzomwp,6.5
9,iaceti4b,6.5
9,phepjf55,5.5
9,lbtdex4p,4.5
9,ujbclp35,3.5
9,aaglh001,3.5
9,4tk252pg,3.5
9,7bewt5q1,2.5
9,zid9e20z,2.5
9,ul8wjrmy,2.5
9,8y24j34j,2.5
9,drcfdv9z,2.5
9,wae6lekm,2.5
9,gw2cow0d,2.5
9,jkg7qkj6,2.5
9,feohfmbo,2.5
9,ndpmze2f,2.5
9,soov8q3q,2.5
9,wqwdis36,2.5
9,zwffw6ur,2.5
9,mnkj3q0t,2.0
9,84p3mem3,1.0
9,jiw3cji1,1.0
9,afwxps4b,1.0
9,vojbn0p4,1.0
9,zxtbnyho,0.2
9,7mfc4mee,0.2
9,gnxr24nr,0.2
9,ihad1sqp,0.2
9,37ojix5j,0.2
9,4twfhdtc,0.2
9,d0hrsiu3,0.2
9,g0pk8dw3,0.2
9,24lz9tf1,0.2
9,hp1gz37o,0.2
9,ttu6xum8,0.2
9,my65cift,0.2
9,ejv0gidp,0.2
9,rqo10s2g,0.2
9,hwywzb0a,0.2
9,na90gzux,0.2
9,6p0knj62,0.2
9,cmw0lgpd,0.2
9,ibmi9ln8,0.2
9,6nas74q1,0.2
9,09yxnwzy,0.2
9,3w02be5c,0.1
9,2hchnlwb,0.1
9,6sfleb1b,0.1
9,sw8aleo3,0.1
9,w1csq51z,0.1
9,bswndfvk,0.1
9,bi0tai8t,0.1
9,iwtevhmq,0.1
9,mq4a4u40,0.1
9,qqy1xgta,0.1
9,5xn4atcu,0.1
9,4jnovvnp,0.1
9,29nj4f05,0.1
9,m6abyuvx,0.1
9,t8e8m6td,0.1
9,xntqevam,0.1
9,b6l0qshz,0.1
9,f5v3hhr8,0.1
9,auum3tn7,0.1
